  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  3.832789463375903954E-02  2.677397018209678980E+33 -1.789134655165925264E+27 -2.405157918123304743E+27 -2.961377131941623035E+27  1.815726441979983890E+51  8.072867536266249334E+46  1.815645713305989246E+51
  4.367911244068840848E-02  2.677397018214207079E+33 -2.201038349267747198E+27 -2.696849051037196989E+27 -3.134857987056322321E+27  1.815287173798815209E+51  8.689921307443979370E+46  1.815200274587341944E+51
  4.849244324616259344E-02  2.677397018218112600E+33 -2.493258387227720844E+27 -2.859865142025857141E+27 -3.157940914424589147E+27  1.814845033139825763E+51  9.225751566627421079E+46  1.814752775625667732E+51
  5.359525700333835074E-02  2.677397018222295976E+33 -2.942978792124362897E+27 -3.194737594059109423E+27 -3.267802048282068574E+27  1.814332586856066418E+51  9.675241398849723743E+46  1.814235834443632805E+51
  5.791691154023085458E-02  2.677397018225487839E+33 -3.316385754657831484E+27 -3.495382333824522516E+27 -3.364138324532609336E+27  1.813860114818010479E+51  1.014458222737666074E+47  1.813758668997077962E+51
  6.656022061401585532E-02  2.677397018236506310E+33 -3.697877408609972902E+27 -3.940795940488787452E+27 -3.728327227691516375E+27  1.812907844950572825E+51  9.869216697746666251E+46  1.812809152785515495E+51
  7.273096977882161085E-02  2.677397018242899836E+33 -3.641209010815537160E+27 -4.028518620274573982E+27 -3.947445032496667913E+27  1.812186173030461206E+51  1.055358496034936696E+47  1.812080637182571896E+51
  8.134286646521499131E-02  2.677397018253997859E+33 -3.239241175793672959E+27 -3.762252708504451906E+27 -3.755150269314215960E+27  1.811160580480347985E+51  1.076824274633275689E+47  1.811052898054742881E+51
  8.960207553366973665E-02  2.677397018264622607E+33 -2.603875099722459414E+27 -3.210302513986647773E+27 -3.134291303078377964E+27  1.810151532162338771E+51  1.131807897179118305E+47  1.810038351374387943E+51
  9.878965726457208940E-02  2.677397018277341637E+33 -1.820793400067083366E+27 -2.650267628050170808E+27 -2.840371213184571246E+27  1.809017175677945724E+51  1.172796483512396209E+47  1.808899896031360519E+51
  1.082654195682039855E-01  2.677397018290953028E+33 -1.374397541174381543E+27 -2.621102292651967879E+27 -3.342679891234449668E+27  1.807840088892078195E+51  1.222469443941416340E+47  1.807717841949475499E+51
  1.177422180819141795E-01  2.677397018304533291E+33 -9.142501510835633134E+26 -2.570176292500701625E+27 -3.699010776565861617E+27  1.806649318131829685E+51  1.277518477488316619E+47  1.806521566285859960E+51
  1.272184176108466236E-01  2.677397018318029966E+33 -3.672112177079436118E+26 -2.294238974173662516E+27 -3.584767286612279160E+27  1.805438169554381097E+51  1.330459806719597894E+47  1.805305123575456912E+51
  1.366939826474260766E-01  2.677397018331544512E+33  9.429621392994107563E+25 -2.183471145951472118E+27 -3.942458213490757567E+27  1.804201107538890046E+51  1.379397383481733797E+47  1.804063167802260361E+51
  1.461693607837162290E-01  2.677397018345080963E+33  4.299242446004525003E+26 -2.173044160757295942E+27 -4.305287075102598148E+27  1.802933603696787814E+51  1.424510982903080203E+47  1.802791152600195010E+51
  1.540681121847620183E-01  2.677397018354817962E+33  5.783198889581482315E+26 -2.182564451586761146E+27 -4.571855218327623881E+27  1.801820228033801030E+51  1.493246561163780935E+47  1.801670903379410789E+51
  1.635401491968496435E-01  2.677397018368167640E+33  7.755259132827846156E+26 -1.962993299599254122E+27 -4.392178618387399620E+27  1.800454154193207808E+51  1.513275751501005255E+47  1.800302826619823986E+51
  1.730181524950520078E-01  2.677397018381662010E+33  9.432643707543144136E+26 -1.603488983991353772E+27 -3.807814100331178243E+27  1.799056363633518372E+51  1.545824922953349150E+47  1.798901781142990492E+51
  1.765200062701960670E-01  2.677397018384406539E+33  9.490067683974839021E+26 -1.492570040041711545E+27 -3.604714562635920542E+27  1.798492423390947876E+51  1.623974429710733858E+47  1.798330025949448003E+51
  1.835237138204841856E-01  2.677397018391605381E+33  9.113789522619785691E+26 -1.308511084005384253E+27 -3.175999243855082671E+27  1.797342632585596817E+51  1.680844041246541459E+47  1.797174548183151391E+51
  1.929994471452484150E-01  2.677397018404858214E+33  8.988363468834767914E+26 -9.760564836113612299E+26 -2.510032232974873824E+27  1.795777933796302863E+51  1.666358064137991267E+47  1.795611297991677670E+51
  2.024874430830627403E-01  2.677397018418288020E+33  6.491931651330558668E+26 -7.661567381807712395E+26 -1.829104765076933941E+27  1.794195309090834370E+51  1.688129424727194192E+47  1.794026496150158190E+51
  2.115110425993995680E-01  2.677397018430604681E+33  3.963765531061465407E+26 -7.876151714789309073E+26 -1.408700811305946646E+27  1.792659686680181331E+51  1.735136847060866976E+47  1.792486172997289193E+51
  2.210044369399071507E-01  2.677397018444065039E+33  3.941098171943691110E+26 -4.689121022830242911E+26 -6.263746902878297411E+26  1.791024187170904333E+51  1.767418424202551530E+47  1.790847445330281350E+51
  2.305012028215626396E-01  2.677397018457458528E+33  3.608643571549668086E+26 -6.996658181019666349E+25  2.375539235542746328E+26  1.789367109364262826E+51  1.806549591431770919E+47  1.789186454406894282E+51
  2.400001024870504207E-01  2.677397018470931569E+33  3.631310930667442384E+26  3.019292234487536364E+26  9.683495815113179689E+26  1.787686883803473687E+51  1.847906950365189296E+47  1.787502093110197690E+51
  2.495009284585823772E-01  2.677397018484361952E+33  5.990227436190487561E+26  8.748089462186360365E+26  1.835904972812266230E+27  1.785982210771173500E+51  1.889906137878897107E+47  1.785793220159126639E+51
  2.590037621394939982E-01  2.677397018497777346E+33  7.339690882335317377E+26  1.328760591483929292E+27  2.799872198227481169E+27  1.784252019998229410E+51  1.931961053765924881E+47  1.784058823894610686E+51
  2.685088144224379025E-01  2.677397018511260187E+33  6.588645716899729002E+26  1.886377625781176998E+27  3.198666602972856968E+27  1.782495472589421293E+51  1.973985954872608068E+47  1.782298073995637821E+51
  2.780163337952434310E-01  2.677397018524675005E+33  6.632469277860759310E+26  2.057440629256647027E+27  3.243699089753501904E+27  1.780711974760386694E+51  2.016065344757577001E+47  1.780510368227599617E+51
  2.875265590484804568E-01  2.677397018538106540E+33  2.564433894857532137E+26  3.814463192339058703E+27  3.013549836844366875E+27  1.778901184573510283E+51  2.058310095775091364E+47  1.778695353565611911E+51
  2.970396953044229238E-01  2.677397018551567475E+33  1.456755612635628156E+26  7.173010234955950379E+27  3.213929291445491661E+27  1.777063001198646244E+51  2.100791818170490636E+47  1.776852922018553320E+51
  3.065559052813586205E-01  2.677397018564943094E+33 -5.875379483327097789E+26  1.385474323996600583E+28  3.380458823097406830E+27  1.775197541546862592E+51  2.143525495994202172E+47  1.774983188998988008E+51
  3.160753120301647012E-01  2.677397018578340042E+33 -1.078664062551152881E+27  2.175159780941621543E+28  3.432593749068287713E+27  1.773305107773021864E+51  2.186485525273232810E+47  1.773086459222260429E+51
  3.255980087571191395E-01  2.677397018591718543E+33 -2.130127294160976606E+27  3.252161570490804309E+28  3.528401120272747075E+27  1.771386149927068756E+51  2.229622295185819851E+47  1.771163187699364018E+51
  3.351240707687774822E-01  2.677397018605169102E+33 -3.781368848027108230E+27  4.374649194002987497E+28 -1.755058058625537904E+27  1.769441229952855874E+51  2.272866601149678585E+47  1.769213943294574234E+51
  3.446535656069488751E-01  2.677397018618528004E+33 -4.651946553877093064E+27  4.398948602977241544E+28 -1.432123749060980086E+27  1.767470988564590252E+51  2.316159530949358380E+47  1.767239372613360870E+51
  3.541865593742229978E-01  2.677397018631956657E+33 -2.774484756015573956E+27  4.522440375450875914E+28 -2.839948089147706126E+28  1.765476117650360074E+51  2.359438693470700965E+47  1.765240173782881002E+51
  3.637231191641080441E-01  2.677397018645359369E+33 -1.861685315915548198E+28 -4.976240904988717340E+27 -7.907372224080856872E+28  1.763457337099259397E+51  2.402635614993566813E+47  1.763217073539641031E+51
  3.732633127400982742E-01  2.677397018658695212E+33  5.274567529495019382E+29  7.548699044973941578E+29 -8.985123547638200708E+29  1.761415380167095347E+51  2.445694856425210227E+47  1.761170810683160591E+51
  3.828072069778020170E-01  2.677397018672164218E+33 -1.430540358468739826E+30 -2.260325884850378035E+30  2.034223208890948073E+30  1.759350981584326902E+51  2.488562552507061175E+47  1.759102125330721390E+51
  3.923548663244607049E-01  2.677397018685527154E+33  1.542546428961670508E+30  3.153437665746524654E+29 -6.051350725630203212E+30  1.757264867917908461E+51  2.531181934380785610E+47  1.757011749726061010E+51
  4.019063513973767932E-01  2.677397018698958114E+33  3.009193986446858895E+31  1.572798225993961104E+31 -4.242265016547450270E+31  1.755157750759521745E+51  2.573524551566125200E+47  1.754900398305865007E+51
  4.068829405999893067E-01  2.677397018703243523E+33  3.746407982695963749E+31  2.074984893205494919E+31 -5.316669308080609044E+31  1.753993432460165112E+51  2.672274098002547758E+47  1.753726205051633268E+51
  4.164322047616504929E-01  2.677397018716190831E+33  4.368497454077296495E+31  2.439411712965702117E+31 -7.020958254903121183E+31  1.751806764338286571E+51  2.673713193551134620E+47  1.751539393020374343E+51
  4.195647217614314473E-01  2.677397018718542215E+33  4.760552701841230544E+31  2.508994128373570742E+31 -8.055907499370718093E+31  1.751039266916870459E+51  2.752111552547612252E+47  1.750764055762398691E+51
