# plotfile = plt00400
# time = 1.386580665 s
# plane: z = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dy = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x y density B_x B_y B_z
-9.3750000e+07 -9.0000000e+08 2.0012678e+04 -1.9597027e-03 -1.0805746e+00 -4.9560892e+06
-8.4375000e+07 -9.0000000e+08 2.0012752e+04 -1.7945719e-03 -1.0882396e+00 -4.9677706e+06
-7.5000000e+07 -9.0000000e+08 2.0012820e+04 -1.6711468e-03 -1.0955306e+00 -4.9792800e+06
-6.5625000e+07 -9.0000000e+08 2.0012879e+04 -1.4938573e-03 -1.1036618e+00 -5.0004720e+06
-5.6250000e+07 -9.0000000e+08 2.0012932e+04 -1.2399131e-03 -1.1099232e+00 -5.0128291e+06
-4.6875000e+07 -9.0000000e+08 2.0012976e+04 -1.0171962e-03 -1.1145282e+00 -5.0199506e+06
-3.7500000e+07 -9.0000000e+08 2.0013012e+04 -8.0397770e-04 -1.1183033e+00 -5.0257679e+06
-2.8125000e+07 -9.0000000e+08 2.0013041e+04 -6.0237460e-04 -1.1212554e+00 -5.0303036e+06
-1.8750000e+07 -9.0000000e+08 2.0013061e+04 -4.1308719e-04 -1.1233773e+00 -5.0335467e+06
-9.3750000e+06 -9.0000000e+08 2.0013073e+04 -2.3006649e-04 -1.1246711e+00 -5.0354513e+06
0.0000000e+00 -9.0000000e+08 2.0013077e+04 -1.3201870e-05 -1.1256238e+00 -5.0384914e+06
9.3750000e+06 -9.0000000e+08 2.0013073e+04 2.0371910e-04 -1.1247245e+00 -5.0354513e+06
1.8750000e+07 -9.0000000e+08 2.0013061e+04 3.8673174e-04 -1.1234843e+00 -5.0335467e+06
2.8125000e+07 -9.0000000e+08 2.0013041e+04 5.7620305e-04 -1.1214153e+00 -5.0303036e+06
3.7500000e+07 -9.0000000e+08 2.0013012e+04 7.7817340e-04 -1.1185159e+00 -5.0257679e+06
4.6875000e+07 -9.0000000e+08 2.0012976e+04 9.9157162e-04 -1.1147930e+00 -5.0199506e+06
5.6250000e+07 -9.0000000e+08 2.0012932e+04 1.1887494e-03 -1.1102521e+00 -5.0128291e+06
6.5625000e+07 -9.0000000e+08 2.0012879e+04 1.3244110e-03 -1.1042614e+00 -5.0004720e+06
7.5000000e+07 -9.0000000e+08 2.0012820e+04 1.5196837e-03 -1.0956943e+00 -4.9792800e+06
8.4375000e+07 -9.0000000e+08 2.0012752e+04 1.7624326e-03 -1.0886996e+00 -4.9677707e+06
9.3750000e+07 -9.0000000e+08 2.0012678e+04 1.9364693e-03 -1.0810823e+00 -4.9560892e+06
1.0312500e+08 -9.0000000e+08 2.0012596e+04 2.0700837e-03 -1.0726976e+00 -4.9428212e+06
1.1250000e+08 -9.0000000e+08 2.0012507e+04 2.1897994e-03 -1.0614652e+00 -4.9169856e+06
1.2187500e+08 -9.0000000e+08 2.0012412e+04 2.3413297e-03 -1.0506812e+00 -4.8969192e+06
1.3125000e+08 -9.0000000e+08 2.0012309e+04 2.5018464e-03 -1.0402404e+00 -4.8804051e+06
1.4062500e+08 -9.0000000e+08 2.0012201e+04 2.6103852e-03 -1.0276134e+00 -4.8546989e+06
1.5000000e+08 -9.0000000e+08 2.0012086e+04 2.7747155e-03 -1.0144950e+00 -4.8280819e+06
1.5937500e+08 -9.0000000e+08 2.0011966e+04 2.9650411e-03 -1.0022538e+00 -4.8084526e+06
1.6875000e+08 -9.0000000e+08 2.0011839e+04 3.0469407e-03 -9.8659541e-01 -4.7719294e+06
1.7812500e+08 -9.0000000e+08 2.0011708e+04 3.1070493e-03 -9.7315589e-01 -4.7504683e+06
1.8750000e+08 -9.0000000e+08 2.0011572e+04 3.2340048e-03 -9.5761587e-01 -4.7182115e+06
1.9687500e+08 -9.0000000e+08 2.0011430e+04 3.4393417e-03 -9.4221781e-01 -4.6886941e+06
2.0625000e+08 -9.0000000e+08 2.0011285e+04 3.6376176e-03 -9.2625546e-01 -4.6569605e+06
2.1562500e+08 -9.0000000e+08 2.0011135e+04 3.7916167e-03 -9.1001731e-01 -4.6239210e+06
2.2500000e+08 -9.0000000e+08 2.0010981e+04 3.7910496e-03 -8.9306312e-01 -4.5876974e+06
2.3437500e+08 -9.0000000e+08 2.0010824e+04 3.7259583e-03 -8.7687728e-01 -4.5564872e+06
2.4375000e+08 -9.0000000e+08 2.0010663e+04 3.9739094e-03 -8.5841371e-01 -4.5146897e+06
2.5312500e+08 -9.0000000e+08 2.0010500e+04 4.3253834e-03 -8.4182748e-01 -4.4852704e+06
2.6250000e+08 -9.0000000e+08 2.0010334e+04 4.4111359e-03 -8.2282258e-01 -4.4422267e+06
2.7187500e+08 -9.0000000e+08 2.0010165e+04 4.3474690e-03 -8.0454852e-01 -4.4029086e+06
2.8125000e+08 -9.0000000e+08 2.0009994e+04 4.3585076e-03 -7.8682261e-01 -4.3689798e+06
2.9062500e+08 -9.0000000e+08 2.0009821e+04 4.5284789e-03 -7.6731027e-01 -4.3240140e+06
3.0000000e+08 -9.0000000e+08 2.0009647e+04 4.5793164e-03 -7.4851898e-01 -4.2820470e+06
3.0937500e+08 -9.0000000e+08 2.0009472e+04 4.5250485e-03 -7.3044315e-01 -4.2467355e+06
3.1875000e+08 -9.0000000e+08 2.0009295e+04 4.5848066e-03 -7.1124934e-01 -4.2031791e+06
3.2812500e+08 -9.0000000e+08 2.0009118e+04 4.6007410e-03 -6.9176059e-01 -4.1570445e+06
