# plotfile = plt01550
# time = 5.370637752 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
7.5000000e+07 -9.0000000e+08 2.0036100e+04 -1.1599788e+06 -1.4510928e-01 9.4722979e+06
8.4375000e+07 -9.0000000e+08 2.0035911e+04 -1.2602220e+06 -1.4461581e-01 8.7155459e+06
9.3750000e+07 -9.0000000e+08 2.0035702e+04 -1.4095279e+06 -1.6316654e-01 9.4337637e+06
1.0312500e+08 -9.0000000e+08 2.0035473e+04 -1.5097954e+06 -1.3528158e-01 8.7872157e+06
1.1250000e+08 -9.0000000e+08 2.0035224e+04 -1.6574486e+06 -1.4717984e-01 9.0258386e+06
1.2187500e+08 -9.0000000e+08 2.0034956e+04 -1.7993152e+06 -1.3846129e-01 8.9126236e+06
1.3125000e+08 -9.0000000e+08 2.0034670e+04 -1.9207921e+06 -1.4068998e-01 8.6216985e+06
1.4062500e+08 -9.0000000e+08 2.0034365e+04 -2.0582777e+06 -1.3811883e-01 8.9500035e+06
1.5000000e+08 -9.0000000e+08 2.0034045e+04 -2.1488111e+06 -1.3691299e-01 8.4395749e+06
1.5937500e+08 -9.0000000e+08 2.0033707e+04 -2.2790354e+06 -1.4848893e-01 8.7177865e+06
1.6875000e+08 -9.0000000e+08 2.0033355e+04 -2.3769695e+06 -1.3269323e-01 8.4307960e+06
1.7812500e+08 -9.0000000e+08 2.0032987e+04 -2.5061544e+06 -1.3745590e-01 8.2931147e+06
1.8750000e+08 -9.0000000e+08 2.0032606e+04 -2.6281488e+06 -1.3217433e-01 8.4013071e+06
1.9687500e+08 -9.0000000e+08 2.0032211e+04 -2.7063283e+06 -1.3230976e-01 8.0204865e+06
2.0625000e+08 -9.0000000e+08 2.0031804e+04 -2.8178764e+06 -1.3454318e-01 8.2365148e+06
2.1562500e+08 -9.0000000e+08 2.0031385e+04 -2.8832810e+06 -1.2496472e-01 7.9101353e+06
