# plotfile = plt00000
# time = 0 s
# plane: y = 0 cm (requested 0, cell 96)
# grid: 192 x 192, dx = 9375000, dz = 9375000 cm
# fields in GAUSS (Heaviside-Lorentz state x sqrt(4 pi)); density in g/cm^3
# x z density B_x B_y B_z
-6.7500000e+08 -8.9062500e+08 2.0000000e+04 3.6309159e+06 0.0000000e+00 2.3455208e+06
-6.6562500e+08 -8.9062500e+08 2.0000000e+04 3.6713835e+06 0.0000000e+00 2.4366326e+06
-6.5625000e+08 -8.9062500e+08 2.0000000e+04 3.7003518e+06 0.0000000e+00 2.5030799e+06
-6.4687500e+08 -8.9062500e+08 2.0000000e+04 3.7381799e+06 0.0000000e+00 2.5955491e+06
-6.3750000e+08 -8.9062500e+08 2.0000000e+04 3.7866644e+06 0.0000000e+00 2.7051629e+06
-6.2812500e+08 -8.9062500e+08 2.0000000e+04 3.8138804e+06 0.0000000e+00 2.7888968e+06
-6.1875000e+08 -8.9062500e+08 2.0000000e+04 3.8388390e+06 0.0000000e+00 2.8663916e+06
-6.0937500e+08 -8.9062500e+08 2.0000000e+04 3.8847102e+06 0.0000000e+00 2.9820020e+06
-6.0000000e+08 -8.9062500e+08 2.0000000e+04 3.9196056e+06 0.0000000e+00 3.0953771e+06
-5.9062500e+08 -8.9062500e+08 2.0000000e+04 3.9384279e+06 0.0000000e+00 3.1643072e+06
-5.8125000e+08 -8.9062500e+08 2.0000000e+04 3.9702802e+06 0.0000000e+00 3.2783390e+06
-5.7187500e+08 -8.9062500e+08 2.0000000e+04 4.0148476e+06 0.0000000e+00 3.4108836e+06
-5.6250000e+08 -8.9062500e+08 2.0000000e+04 4.0276997e+06 0.0000000e+00 3.4899122e+06
-5.5312500e+08 -8.9062500e+08 2.0000000e+04 4.0423557e+06 0.0000000e+00 3.5927811e+06
-5.4375000e+08 -8.9062500e+08 2.0000000e+04 4.0871964e+06 0.0000000e+00 3.7396855e+06
-5.3437500e+08 -8.9062500e+08 2.0000000e+04 4.0934796e+06 0.0000000e+00 3.8379934e+06
-5.2500000e+08 -8.9062500e+08 2.0000000e+04 4.0989697e+06 0.0000000e+00 3.9255678e+06
-5.1562500e+08 -8.9062500e+08 2.0000000e+04 4.1415441e+06 0.0000000e+00 4.0862080e+06
-5.0625000e+08 -8.9062500e+08 2.0000000e+04 4.1438792e+06 0.0000000e+00 4.2009833e+06
-4.9687500e+08 -8.9062500e+08 2.0000000e+04 4.1412835e+06 0.0000000e+00 4.2767149e+06
-4.8750000e+08 -8.9062500e+08 2.0000000e+04 4.1772799e+06 0.0000000e+00 4.4517672e+06
-4.7812500e+08 -8.9062500e+08 2.0000000e+04 4.1762465e+06 0.0000000e+00 4.5751518e+06
