# 256^3 magnetised run, dir_rot256, first 44 plotfiles (t = 0 to 5.137 s).
# tools/fbtbp.cpp with rho_cut = 1.0e5 g/cm^3. Same columns as bt_bp_192.csv.
# These are the plotfiles of the FIRST attempt, written at cfl = 0.5 and
# plot_int = 50, before the run died at t = 5.146 and was restarted at
# cfl = 0.3. They are the convergence data against the 192^3 run.
t,E_tor,E_pol,Et_over_Ep,Et_over_Emag,Btor_max_G,Bpol_max_G,B_max_G,Bt_over_Bp_amp,B_over_Bc,M_Msun,R_eq_e8,R_pol_e8,R_vol_e8,Rpol_over_Req
4.042680e+00,2.674520e+49,3.500560e+48,7.640250e+00,8.842627e-01,5.402480e+13,6.084030e+13,6.932240e+13,8.879770e-01,1.570510e+00,2.003290e+00,3.619560e+00,1.828120e+00,3.028880e+00,5.051000e-01
4.145370e+00,2.536220e+49,3.351790e+48,7.566770e+00,8.832699e-01,5.020420e+13,5.096190e+13,6.375430e+13,9.851310e-01,1.444360e+00,2.003580e+00,3.861430e+00,1.828120e+00,3.088510e+00,4.734000e-01
4.260310e+00,2.385110e+49,3.240670e+48,7.359920e+00,8.803816e-01,4.995160e+13,4.646460e+13,5.680560e+13,1.075050e+00,1.286940e+00,2.004060e+00,4.150820e+00,1.898440e+00,3.185920e+00,4.574000e-01
4.381430e+00,2.274010e+49,3.119490e+48,7.289670e+00,8.793679e-01,4.499510e+13,3.907430e+13,4.962910e+13,1.151530e+00,1.124360e+00,2.004640e+00,4.373530e+00,1.898440e+00,3.288660e+00,4.341000e-01
4.512830e+00,2.126820e+49,2.970480e+48,7.159860e+00,8.774489e-01,4.051800e+13,3.220210e+13,4.367570e+13,1.258240e+00,9.894810e-01,2.005300e+00,4.500550e+00,2.039060e+00,3.399400e+00,4.531000e-01
4.641740e+00,1.974010e+49,2.881170e+48,6.851440e+00,8.726348e-01,3.772500e+13,3.022040e+13,3.944280e+13,1.248330e+00,8.935840e-01,2.005300e+00,4.518090e+00,2.179690e+00,3.398390e+00,4.824000e-01
4.774250e+00,1.876570e+49,2.811410e+48,6.674850e+00,8.697044e-01,3.804220e+13,2.986150e+13,3.884640e+13,1.273950e+00,8.800730e-01,2.004650e+00,4.384820e+00,2.179690e+00,3.285290e+00,4.971000e-01
4.912130e+00,1.828990e+49,2.680450e+48,6.823470e+00,8.721794e-01,3.844430e+13,2.913940e+13,4.022880e+13,1.319320e+00,9.113910e-01,2.004200e+00,4.029960e+00,2.109380e+00,3.198900e+00,5.234000e-01
5.042880e+00,1.804280e+49,2.576690e+48,7.002310e+00,8.750361e-01,4.041540e+13,3.033630e+13,4.088310e+13,1.332250e+00,9.262140e-01,2.003710e+00,3.610670e+00,2.179690e+00,3.098340e+00,6.037000e-01
5.136530e+00,1.784470e+49,2.510310e+48,7.108570e+00,8.766737e-01,4.044690e+13,3.104490e+13,4.110730e+13,1.302850e+00,9.312940e-01,2.003110e+00,3.491640e+00,2.109380e+00,2.966830e+00,6.041000e-01
