# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,rot_w,a_rot,T_over_W,shed,strict,beats_ceiling,B_over_Bc
1e-12,0.4,1000000000.0,gate,1.9729894884004093,1.3463785171468987,1.6993046782247117,1.266427619961303,2.0131151728799663,21.645699294630532,0.0,1.3894182044801713,2.0085924937391866,0.5041935155686004,0.0111115075146889,0.0111115075146889,0.00020675053744132344,0.0,0.0,0.0,0.1328332345619025,0.08,0.5,0.07996500962399722,0.068186702431178,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.08,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.0,,,,0.08,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.0762908802959867,1.3463785171468987,2.279092018687832,2.161189402847367,2.953032809575685,17.115177470241463,1.0001159225934286,2.0843285155343985,2.508185497477072,0.8752337495161198,0.02899576178704324,0.033995264127623964,0.0004362237407854432,0.005,0.004999502340580723,0.305013488257229,0.14248547549401175,0.0,0.5,0.0,0.0,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.2154723322523422,1.3463785171468987,2.1619036288688287,1.986494109194013,2.24629707869284,5.919864172704602,0.558198174879895,1.9766041552717806,2.327718747910224,0.5604784372489714,0.023981983404035494,0.028981248499986702,0.00035924062433211794,0.005,0.004999265095951209,0.30284608332530166,0.14422711474905567,0.02,0.5,0.019997060383804843,0.03350346535252568,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.1929454060186846,1.3463785171468987,2.1992917838996306,2.130368036122283,2.290247627547281,3.5810809642335104,1.0,2.004310781585953,2.349709278203265,0.690147800502397,0.02490309079610098,0.029902416542265626,0.000374926438887045,0.005,0.004999325746164648,0.28681815300616587,0.14182716403611337,0.02,1.0,0.019997302984658596,0.11151017236020518,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.1828239616102256,1.3463785171468987,2.4654560887471195,2.160434728326609,6.765380652520022,92.009193691555,1.0,2.013369370535166,2.5743428752951427,0.7600182559716306,0.02529370064652605,0.030292855052849496,7.724060594558501e-05,0.005,0.004999154406323445,0.21812284657512007,0.14335357335232685,0.02,2.0,0.01999661762529378,0.6370345093698268,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.3914394786064044,1.3463785171468987,2.019506458314608,1.671698581015173,2.1739673727194693,12.251659264666431,0.0017156940651886418,1.8130148583066314,2.1863375013359607,0.029300066860253708,0.019416742616901572,0.02441569945161869,0.00029178028914854555,0.005,0.004998956834717115,0.304481930521668,0.14213559725174546,0.04,0.5,0.03999165467773692,0.05728150174798302,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.3294321480134694,1.3463785171468987,2.120995710698896,1.999112426581862,2.251854436809976,5.870047387946689,1.1595215891080501,1.9122839537500653,2.227634502620782,0.23358246980270223,0.02126782002575807,0.026266939320014643,0.0002964176189441271,0.005,0.004999119294256573,0.2568697546460553,0.14040956927004655,0.04,1.0,0.03999295435405259,0.21595743988284943,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.04,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.6204922960878354,1.3463785171468987,1.8757635766314895,1.489599765947896,2.0995201718054277,16.017658389540674,0.00946929161238915,1.6113480877557262,2.103174371332877,0.1522744813113708,0.0152825703028488,0.020281120523220827,0.00023747790614930074,0.005,0.004998550220372025,0.31120684406088384,0.1386991265251594,0.06,0.5,0.059982602644464283,0.06951415247101195,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.06,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.06,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.9303094957387152,1.3463785171468987,1.7317741935968172,1.349050076801922,2.0240203704974036,19.199828872193045,0.014087315027856734,1.422860830946611,2.0235228302449264,0.4102998973820931,0.011567827158524287,0.01656584938222327,0.000199391077713746,0.005,0.004998022223698985,0.32625394758115756,0.12928100312735785,0.08,0.5,0.07996835557918375,0.0687838639053431,False,False,0.5548529983234264
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.08,1.0,,,,,
1e-12,0.4,1000000000.0,runaway,,,,,,,,,,,,,,0.005,,,,0.08,2.0,,,,,
1e-12,0.4,1000000000.0,gate,1.0616500889051583,1.3463785171468987,2.3168266570929643,2.2034591578501472,3.01315337782542,17.215968512359254,1.0825384848447759,2.0979203751402116,3.058497802352699,0.9024393201795342,0.02963364868405585,0.03963274651721515,0.00043386847957530564,0.01,0.009999097833159299,0.42668832854561356,0.14173931441966758,0.0,0.5,0.0,0.0,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.1976332621604215,1.3463785171468987,2.192971049281122,2.00462761875672,2.2710154575708086,5.983915583593188,0.5541612429393933,1.991050645088256,2.608107471141513,0.6580298826243048,0.02457135315224796,0.034570021523665236,0.0003606450125947108,0.01,0.009998668371417267,0.4231243045796411,0.14337878399179566,0.02,0.5,0.019997336742834534,0.033947956061564054,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.1757795732329854,1.3463785171468987,2.233376063835691,2.176824336252619,2.339965847901935,3.5983763762793006,1.0479484581477145,2.018739770636229,2.61148332156194,0.7520956629869462,0.02550129435569502,0.03550008058283419,0.0003769873637942742,0.01,0.009998786227139164,0.40083909471086393,0.14341749669674084,0.02,1.0,0.01999757245427834,0.11368813737946859,False,True,0.5548529983234264
1e-12,0.4,1000000000.0,gate,1.1673454456153007,1.3463785171468987,5.420866647249869e+17,1.7035310227553053,5.420866647249869e+18,492.6108374384237,1.4087478402214219e-18,2.0074839912071565,5.976090641789533,0.8496590941079812,0.02603138433011687,0.03592438471968329,0.004553281654684517,0.01,0.00989300038956642,0.28086238088649407,0.07865685532648171,0.02,2.0,0.01978600077913284,0.47768514001931545,False,True,0.5548529983234264
