# non-barotropic ceiling scan; floor=0.0203, barotropic ceiling=0.018, B_c=4.4140e+13
k0,alpha,rho_c,status,M_msun,M0_msun,mu_mean,mu_lo,mu_hi,over_floor,ledoux,mu_p01,mu_p99,f_bad,E_pol_over_W,E_mag_over_W,VE,tor_w,E_tor_over_W,bt_bp,f_core,strict,beats_ceiling,B_over_Bc
1.3572088082974531e-12,0.9,1000000000.0,gate,1.45789614500551,1.3463785171468987,2.1321079750637977,1.930995974169512,2.870873932710057,21.715319939775572,2.3643338285378133,1.8778251101268446,4.908477727642392,0.13318001578221977,0.027912732589591576,0.047911811533798934,0.01909799417030742,0.02,0.019999078944207355,0.63277909192356,0.11464192333353575,False,True,0.7530513766348059
1.3572088082974531e-12,0.9,3000000000.0,gate,1.4777882332616743,1.386779267460252,1.9659639375314881,1.9211354848439413,2.271933100287677,8.789922531952497,1.0,1.9086204932480393,1.976960036794747,0.004622904056329072,0.014388328808892492,0.014388328808892492,0.000622086806418741,0.0,0.0,0.0,0.05500112726858254,False,False,1.101771501469577
1.3572088082974531e-12,0.9,3000000000.0,gate,1.4564764342524168,1.386779267460252,1.9986035851740536,1.9635566189857963,2.306656375317975,8.456637401508248,1.1210982249505093,1.9235833395170219,2.3395895944996465,0.033346635112012225,0.01471280297490123,0.0197125391950948,0.0006225190430872151,0.005,0.00499973622019357,0.40936252441316506,0.054737589396208465,False,False,1.101771501469577
1.3572088082974531e-12,0.9,3000000000.0,gate,1.4357237580634632,1.386779267460252,2.0468112943259436,1.9782574978208758,2.3393206914443594,8.689791905688603,1.5141907229643459,1.9379383120977063,3.364174642024363,0.07583640134102657,0.01503846629812625,0.025038064197774386,0.0006222827607262151,0.01,0.009999597899648138,0.5774823366946426,0.05448095616106739,False,False,1.101771501469577
1.3572088082974531e-12,0.9,3000000000.0,gate,1.3500188752736146,1.386779267460252,2.1822549021926068,2.0120637702658613,2.690630363454562,15.317608286390794,1.855638064798856,1.991318366616445,4.848025008038281,0.08476536129816975,0.016432643715250685,0.03643258233441535,0.025236844025098102,0.02,0.019999938619164662,0.7812856039536359,0.05419335570590196,False,False,1.101771501469577
1.3572088082974531e-12,1.0,1000000000.0,gate,1.6349124124789476,1.3463785171468987,1.8851204043077257,1.8182183410734076,2.5328406775309134,18.67417629187518,1.000648631655313,1.7886595841671153,1.920704511146034,0.9885705955254199,0.022919822157111795,0.022919822157111795,0.00047015365031022766,0.0,0.0,0.0,0.10385840526237522,False,True,0.7530513766348059
1.3572088082974531e-12,1.0,1000000000.0,gate,1.6119889203180982,1.3463785171468987,1.912895681086941,1.8567927703510474,2.5864962675888017,18.79139852790013,1.0207841391189603,1.8006532395636388,2.1462615525274815,0.8614209404897951,0.023436470105500973,0.028436078953034592,0.0004695082805210602,0.005,0.004999608847533619,0.34221562785011966,0.10331377046772552,False,True,0.7530513766348059
1.3572088082974531e-12,1.0,1000000000.0,gate,1.5896572917036296,1.3463785171468987,1.9393628878548383,1.8677389061777172,2.4808440787468444,15.573271737254851,1.1250226713656608,1.8127774930468237,2.7588450272604086,0.868936560125029,0.023954769848166173,0.03395409746938869,0.00046824203399133314,0.01,0.009999327621222517,0.4787042933638099,0.10277999405205727,False,True,0.7530513766348059
1.3572088082974531e-12,1.0,1000000000.0,gate,1.5058588334184324,1.3463785171468987,2.058132573902031,1.8979260237920408,2.5901533381689688,16.568353339185883,1.8400319564853742,1.859138575059508,4.850513500048839,0.4480021255410496,0.025974067549987132,0.04597335666830359,0.020947078020248765,0.02,0.01999928911831646,0.6559724464435523,0.10253531067530952,False,True,0.7530513766348059
1.3572088082974531e-12,1.0,3000000000.0,gate,1.5416516060938856,1.386779267460252,1.9272300290791506,1.8890030440454246,2.2207116744842152,8.478659203130045,1.0,1.8784881602459202,1.9340357553671121,0.10280044072102987,0.01317536924274346,0.01317536924274346,0.0006306929839495427,0.0,0.0,0.0,0.0493662851118145,False,False,1.101771501469577
1.3572088082974531e-12,1.0,3000000000.0,gate,1.5193267835275854,1.386779267460252,1.9594027591766883,1.926579906257513,2.254384583307379,8.241293716745501,1.1287266813358041,1.8931327989747582,2.3119362112526054,0.055450845553128465,0.013472986211282017,0.01847274886478064,0.0006299922861364814,0.005,0.004999762653498622,0.4314117522092151,0.049130320363984764,False,False,1.101771501469577
1.3572088082974531e-12,1.0,3000000000.0,gate,1.497581332140313,1.386779267460252,2.009551198975054,1.9364992321864638,2.2817630437147103,8.463615926822818,1.5535334405448158,1.906741638985393,3.398046277502417,0.06979836293937684,0.013771475241787942,0.02377112756780891,0.000632339690269242,0.01,0.009999652326020967,0.6034640840630652,0.04890100932416194,False,False,1.101771501469577
1.3572088082974531e-12,1.0,3000000000.0,gate,1.4072393525534774,1.386779267460252,2.1571749643850437,1.9688924852359813,2.9660902553370265,22.771932584580224,1.5910743399991139,1.9560636745416244,4.79323195106497,0.0744440773168663,0.01505855849684556,0.035058554164052014,0.025539697815342075,0.02,0.01999999566720646,0.8161546528083263,0.04862861677841302,False,False,1.101771501469577
1.842015749320193e-12,0.7,1000000000.0,gate,1.6860721410533293,1.3463785171468987,1.9143318669971154,1.7974498622529145,2.9402789419121147,29.408171053590358,1.0,1.7096043538448653,2.05242170141332,0.9749060071666725,0.04188568828784255,0.04188568828784255,0.00035998682630173024,0.0,0.0,0.0,0.2933906920969015,False,True,1.0220479614692815
1.842015749320193e-12,0.7,1000000000.0,gate,1.6639025839929809,1.3463785171468987,1.9397537307911292,1.8427539522231806,3.0114109362509556,29.678669330121,1.0026831567121233,1.7205433549183613,2.0899054119564844,0.8182941266103095,0.0428114510647373,0.047810863961009274,0.00035764602166831985,0.005,0.00499941289627197,0.24700209659351027,0.2916918041174081,False,True,1.0220479614692815
1.842015749320193e-12,0.7,1000000000.0,gate,1.6423520744337028,1.3463785171468987,1.9681515744744618,1.8618090863577197,3.0847822412521344,30.609930546539108,1.0208176951312269,1.7312084053719972,2.365838095608875,0.7928110191470717,0.04373907848228582,0.053737997901703916,0.00035468108820466783,0.01,0.009998919419418103,0.34833072625394645,0.29004357070412284,False,True,1.0220479614692815
1.842015749320193e-12,0.7,1000000000.0,gate,1.6008098150231185,1.3463785171468987,2.049677940388738,1.8803569017134112,3.0660120631323005,28.495529491280738,1.2574068135762546,1.7522399453430477,4.508431116572675,0.6076493949388181,0.04560310148107004,0.06560125712824456,0.0003477805820909952,0.02,0.01999815564717453,0.4824450418784077,0.28555172469983037,False,True,1.0220479614692815
1.842015749320193e-12,0.7,3000000000.0,gate,1.47461844388599,1.386779267460252,2.0137078108195596,1.917893238880326,2.8330531598910804,22.387443334974748,1.0,1.8766083749051468,2.0215434575958,0.026738647158465415,0.027634509762472732,0.027634509762472732,0.0005328357182780808,0.0,0.0,0.0,0.1348666564437444,False,True,1.495333986525622
1.842015749320193e-12,0.7,3000000000.0,gate,1.4543083111535875,1.386779267460252,2.0319416714777234,1.9635284362415906,2.6979940305995096,17.80591030663011,1.0168723547459224,1.889245122002883,2.249624158574079,0.0401384826825058,0.028248809418361408,0.033248353534769855,0.0005316071249505891,0.005,0.004999544116408444,0.2930136071160996,0.13407712691585824,False,True,1.495333986525622
1.842015749320193e-12,0.7,3000000000.0,gate,1.4345094059149743,1.386779267460252,2.068861579546685,1.997133426380333,2.752820812840894,17.993460749924008,1.1188002358138087,1.9018790712856035,2.778975493723061,0.0943597079116725,0.02886515822731744,0.03886435003880885,0.0005301357642118669,0.01,0.009999191811491415,0.40993796333574967,0.13342055077562245,False,True,1.495333986525622
1.842015749320193e-12,0.7,3000000000.0,gate,1.3691316232319253,1.386779267460252,2.2164140258774565,2.0269717181156723,2.8305996656506673,17.861095968629424,2.1144494358591306,1.9450057090522386,5.6108435476018474,0.11438282271292537,0.030963213641310668,0.05096220037146263,0.015558192232399348,0.02,0.019998986730151963,0.5643690995057589,0.1312940622406164,False,True,1.495333986525622
1.842015749320193e-12,0.8,1000000000.0,gate,1.739406525577867,1.3463785171468987,1.884634664006919,1.7722978745010018,2.9154298984733,29.879489876007426,1.000027807607822,1.6969390745033748,2.0049688381705626,0.9835031892554,0.039041027371649877,0.039041027371649877,0.00037715715980482165,0.0,0.0,0.0,0.25396088438110226,False,True,1.0220479614692815
1.842015749320193e-12,0.8,1000000000.0,gate,1.7163308411588112,1.3463785171468987,1.8980768296371018,1.8176781855703672,2.837587985108828,26.4698779637047,1.0065338896811586,1.708039319700069,2.0417674178569185,0.8800413949031901,0.039906124609765135,0.044905566035936824,0.0003750644413257509,0.005,0.004999441426171688,0.257864187259503,0.2513198400593647,False,True,1.0220479614692815
