  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  2.588718690747902895E-02  2.686188571494927713E+33 -6.573534144154546137E+24 -7.782459963769175312E+24 -3.588998526980930362E+25  1.815337034975641261E+51  6.855808927355202742E+46  1.815268476886353496E+51
  3.539071711556900091E-02  2.686188709157173775E+33 -2.070285466090052462E+25 -1.662273001970115115E+25 -3.747670040805350442E+25  1.814352702251509759E+51  8.595489271490146159E+46  1.814266747358803986E+51
  4.489517371469699952E-02  2.686188846718976739E+33 -2.659636803152184184E+25 -4.986819005910345346E+24  4.080124641199373465E+24  1.813210705043355765E+51  1.018482617403442344E+47  1.813108856781574920E+51
  5.440130300372031380E-02  2.686188984191635236E+33 -1.360041547066457822E+25  2.417851639229258349E+24  1.465822556282737874E+25  1.811932742224653940E+51  1.161928161192773825E+47  1.811816549408531380E+51
  6.390964260430123667E-02  2.686189121591568022E+33 -4.578806541790407999E+25 -2.856087248839561425E+25 -2.478297930209989808E+25  1.810536888601479475E+51  1.290681461513811690E+47  1.810407820455319606E+51
  7.342077657743616148E-02  2.686189258935776075E+33 -3.052537694526938666E+25 -3.415215440411327419E+25 -3.717446895314984712E+25  1.809038418402650987E+51  1.406736185616595078E+47  1.808897744784105989E+51
  8.293525842534567316E-02  2.686189396240857432E+33 -1.813388729421943762E+25 -2.070285466090052462E+25  1.662273001970115115E+24  1.807450366410387031E+51  1.512339744766973872E+47  1.807299132435946683E+51
  9.245352603937968816E-02  2.686189533519915044E+33 -3.717446895314984712E+25 -2.508521075700355538E+25  6.800207735332289108E+24  1.805783938000639652E+51  1.609392686595361215E+47  1.805622998731957842E+51
  1.019758598217050394E-01  2.686189670781856384E+33 -2.266735911777429703E+24 -1.496045701773103604E+25 -1.148479528633897716E+25  1.804048820223744180E+51  1.699226534312732250E+47  1.803878897570300977E+51
  1.115023855289046656E-01  2.686189808031218197E+33 -4.231240368651202111E+24 -1.057810092162800528E+24  9.218059374561547457E+24  1.802253414029902877E+51  1.782675527786370784E+47  1.802075146477110308E+51
  1.210331095801209789E-01  2.686189945269151099E+33 -2.342293775503344026E+25 -2.478297930209989808E+25 -2.251624339032246838E+25  1.800404999255020417E+51  1.860255149746765421E+47  1.800218973740008370E+51
  1.305679693709974609E-01  2.686190082494714883E+33  2.871198821584744290E+24  1.662273001970115115E+24  1.888946593147858085E+25  1.798509858999213286E+51  1.932349535995529478E+47  1.798316624045572682E+51
  1.401068819658658482E-01  2.686190219706399797E+33  1.752942438441212303E+25 -6.044629098073145874E+24  4.231240368651202111E+25  1.796573377417442498E+51  1.999328796746761653E+47  1.796373444537740277E+51
  1.496497777749890012E-01  2.686190356903142850E+33  1.994727602364138138E+25  7.253554917687775048E+24  3.777893186295716171E+25  1.794600127360216841E+51  2.061600091605985876E+47  1.794393967351099247E+51
  1.591966159140775772E-01  2.686190494084425801E+33  1.420487838047189280E+25 -1.012475373927251934E+25 -4.140570932180104923E+25  1.792593955802975474E+51  2.119618779887230977E+47  1.792381993925016490E+51
  1.687473843479410096E-01  2.686190631250576081E+33  1.450710983537555010E+25 -2.115620184325601056E+24 -3.188541849233584448E+25  1.790558068070104319E+51  2.173876073870366138E+47  1.790340680462680370E+51
  1.783020913641019944E-01  2.686190768402653801E+33  3.143207130998035854E+25 -1.632049856479749386E+25 -8.356699728086124170E+25  1.788495112917777953E+51  2.224885969470885536E+47  1.788272624320813657E+51
  1.878607550551587846E-01  2.686190905541615309E+33  1.737830865696029439E+25 -1.103144810398349122E+25 -6.754873017096740514E+25  1.786407264168469390E+51  2.273164348071076185E+47  1.786179947733630027E+51
  1.974233954705477134E-01  2.686191042668716138E+33  7.767348391023992447E+25  7.555786372591432342E+25  2.236512766287063973E+25  1.784296297396693855E+51  2.319204949344988629E+47  1.784064376901732989E+51
  2.069900312626428984E-01  2.686191179785166854E+33  4.956595860419979616E+25  6.558422571409363273E+25 -1.420487838047189280E+25  1.782163660523022272E+51  2.363464352281870625E+47  1.781927314087806102E+51
  2.165606803247527301E-01  2.686191316891932453E+33  6.860654026313020566E+25  5.681951352188757121E+25 -1.813388729421943762E+24  1.780010535079297205E+51  2.406344407129093916E+47  1.779769900638597768E+51
  2.261353613189498735E-01  2.686191453990045376E+33 -1.208925819614629175E+24  1.541380420008652198E+25 -7.314001208668506507E+25  1.777837890944530009E+51  2.448179633544974369E+47  1.777593072981214310E+51
