# 1D hydrostatic white dwarf, ztwd structure, isothermal T
# rho_c=9.8839384950e+08 R=2.4562141156e+08 M_msun=1.3461439553 t_dyn=0.2879669941 T_iso=1.0000000000e+07
# r density temperature
7.3385816581e+07 3.5838193040e+08 1.0000000000e+07
7.3800425714e+07 3.5474768421e+08 1.0000000000e+07
7.4215034847e+07 3.5113846279e+08 1.0000000000e+07
7.4629643980e+07 3.4755433852e+08 1.0000000000e+07
7.5044253113e+07 3.4399537740e+08 1.0000000000e+07
7.5458862247e+07 3.4046163905e+08 1.0000000000e+07
7.5873471380e+07 3.3695317691e+08 1.0000000000e+07
7.6288080513e+07 3.3347003830e+08 1.0000000000e+07
7.6702689646e+07 3.3001226456e+08 1.0000000000e+07
7.7117298780e+07 3.2657989115e+08 1.0000000000e+07
7.7531907913e+07 3.2317294775e+08 1.0000000000e+07
7.7946517046e+07 3.1979145840e+08 1.0000000000e+07
7.8361126179e+07 3.1643544160e+08 1.0000000000e+07
7.8775735312e+07 3.1310491039e+08 1.0000000000e+07
7.9190344446e+07 3.0979987251e+08 1.0000000000e+07
7.9604953579e+07 3.0652033047e+08 1.0000000000e+07
8.0019562712e+07 3.0326628168e+08 1.0000000000e+07
8.0434171845e+07 3.0003771855e+08 1.0000000000e+07
8.0848780979e+07 2.9683462860e+08 1.0000000000e+07
8.1263390112e+07 2.9365699458e+08 1.0000000000e+07
8.1677999245e+07 2.9050479453e+08 1.0000000000e+07
8.2092608378e+07 2.8737800197e+08 1.0000000000e+07
8.2507217512e+07 2.8427658591e+08 1.0000000000e+07
8.2921826645e+07 2.8120051103e+08 1.0000000000e+07
8.3336435778e+07 2.7814973772e+08 1.0000000000e+07
8.3751044911e+07 2.7512422225e+08 1.0000000000e+07
8.4165654044e+07 2.7212391683e+08 1.0000000000e+07
8.4580263178e+07 2.6914876968e+08 1.0000000000e+07
8.4994872311e+07 2.6619872523e+08 1.0000000000e+07
8.5409481444e+07 2.6327372410e+08 1.0000000000e+07
8.5824090577e+07 2.6037370329e+08 1.0000000000e+07
8.6238699711e+07 2.5749859624e+08 1.0000000000e+07
8.6653308844e+07 2.5464833289e+08 1.0000000000e+07
8.7067917977e+07 2.5182283987e+08 1.0000000000e+07
8.7482527110e+07 2.4902204049e+08 1.0000000000e+07
8.7897136243e+07 2.4624585491e+08 1.0000000000e+07
8.8311745377e+07 2.4349420017e+08 1.0000000000e+07
8.8726354510e+07 2.4076699033e+08 1.0000000000e+07
8.9140963643e+07 2.3806413654e+08 1.0000000000e+07
8.9555572776e+07 2.3538554713e+08 1.0000000000e+07
8.9970181910e+07 2.3273112769e+08 1.0000000000e+07
9.0384791043e+07 2.3010078117e+08 1.0000000000e+07
9.0799400176e+07 2.2749440793e+08 1.0000000000e+07
9.1214009309e+07 2.2491190590e+08 1.0000000000e+07
9.1628618442e+07 2.2235317056e+08 1.0000000000e+07
9.2043227576e+07 2.1981809511e+08 1.0000000000e+07
9.2457836709e+07 2.1730657049e+08 1.0000000000e+07
9.2872445842e+07 2.1481848550e+08 1.0000000000e+07
9.3287054975e+07 2.1235372685e+08 1.0000000000e+07
9.3701664109e+07 2.0991217926e+08 1.0000000000e+07
9.4116273242e+07 2.0749372550e+08 1.0000000000e+07
9.4530882375e+07 2.0509824651e+08 1.0000000000e+07
9.4945491508e+07 2.0272562142e+08 1.0000000000e+07
9.5360100641e+07 2.0037572768e+08 1.0000000000e+07
9.5774709775e+07 1.9804844108e+08 1.0000000000e+07
9.6189318908e+07 1.9574363585e+08 1.0000000000e+07
9.6603928041e+07 1.9346118471e+08 1.0000000000e+07
9.7018537174e+07 1.9120095895e+08 1.0000000000e+07
9.7433146308e+07 1.8896282849e+08 1.0000000000e+07
9.7847755441e+07 1.8674666194e+08 1.0000000000e+07
9.8262364574e+07 1.8455232667e+08 1.0000000000e+07
9.8676973707e+07 1.8237968887e+08 1.0000000000e+07
9.9091582840e+07 1.8022861360e+08 1.0000000000e+07
9.9506191974e+07 1.7809896488e+08 1.0000000000e+07
9.9920801107e+07 1.7599060570e+08 1.0000000000e+07
1.0033541024e+08 1.7390339814e+08 1.0000000000e+07
1.0075001937e+08 1.7183720335e+08 1.0000000000e+07
1.0116462851e+08 1.6979188169e+08 1.0000000000e+07
1.0157923764e+08 1.6776729270e+08 1.0000000000e+07
1.0199384677e+08 1.6576329523e+08 1.0000000000e+07
1.0240845591e+08 1.6377974742e+08 1.0000000000e+07
1.0282306504e+08 1.6181650682e+08 1.0000000000e+07
1.0323767417e+08 1.5987343036e+08 1.0000000000e+07
1.0365228331e+08 1.5795037448e+08 1.0000000000e+07
1.0406689244e+08 1.5604719513e+08 1.0000000000e+07
1.0448150157e+08 1.5416374782e+08 1.0000000000e+07
1.0489611071e+08 1.5229988768e+08 1.0000000000e+07
1.0531071984e+08 1.5045546948e+08 1.0000000000e+07
1.0572532897e+08 1.4863034770e+08 1.0000000000e+07
1.0613993811e+08 1.4682437657e+08 1.0000000000e+07
1.0655454724e+08 1.4503741007e+08 1.0000000000e+07
1.0696915637e+08 1.4326930203e+08 1.0000000000e+07
1.0738376550e+08 1.4151990612e+08 1.0000000000e+07
1.0779837464e+08 1.3978907594e+08 1.0000000000e+07
1.0821298377e+08 1.3807666498e+08 1.0000000000e+07
1.0862759290e+08 1.3638252674e+08 1.0000000000e+07
1.0904220204e+08 1.3470651470e+08 1.0000000000e+07
1.0945681117e+08 1.3304848239e+08 1.0000000000e+07
1.0987142030e+08 1.3140828342e+08 1.0000000000e+07
1.1028602944e+08 1.2978577151e+08 1.0000000000e+07
1.1070063857e+08 1.2818080049e+08 1.0000000000e+07
1.1111524770e+08 1.2659322440e+08 1.0000000000e+07
1.1152985684e+08 1.2502289744e+08 1.0000000000e+07
1.1194446597e+08 1.2346967406e+08 1.0000000000e+07
1.1235907510e+08 1.2193340896e+08 1.0000000000e+07
1.1277368424e+08 1.2041395713e+08 1.0000000000e+07
1.1318829337e+08 1.1891117384e+08 1.0000000000e+07
1.1360290250e+08 1.1742491474e+08 1.0000000000e+07
1.1401751164e+08 1.1595503581e+08 1.0000000000e+07
1.1443212077e+08 1.1450139341e+08 1.0000000000e+07
1.1484672990e+08 1.1306384434e+08 1.0000000000e+07
1.1526133904e+08 1.1164224579e+08 1.0000000000e+07
1.1567594817e+08 1.1023645543e+08 1.0000000000e+07
1.1609055730e+08 1.0884633140e+08 1.0000000000e+07
1.1650516644e+08 1.0747173231e+08 1.0000000000e+07
1.1691977557e+08 1.0611251733e+08 1.0000000000e+07
1.1733438470e+08 1.0476854611e+08 1.0000000000e+07
1.1774899384e+08 1.0343967889e+08 1.0000000000e+07
1.1816360297e+08 1.0212577646e+08 1.0000000000e+07
1.1857821210e+08 1.0082670021e+08 1.0000000000e+07
1.1899282124e+08 9.9542312119e+07 1.0000000000e+07
1.1940743037e+08 9.8272474794e+07 1.0000000000e+07
1.1982203950e+08 9.7017051471e+07 1.0000000000e+07
1.2023664863e+08 9.5775906039e+07 1.0000000000e+07
1.2065125777e+08 9.4548903048e+07 1.0000000000e+07
1.2106586690e+08 9.3335907724e+07 1.0000000000e+07
1.2148047603e+08 9.2136785984e+07 1.0000000000e+07
1.2189508517e+08 9.0951404447e+07 1.0000000000e+07
1.2230969430e+08 8.9779630446e+07 1.0000000000e+07
1.2272430343e+08 8.8621332038e+07 1.0000000000e+07
1.2313891257e+08 8.7476378018e+07 1.0000000000e+07
1.2355352170e+08 8.6344637929e+07 1.0000000000e+07
1.2396813083e+08 8.5225982067e+07 1.0000000000e+07
1.2438273997e+08 8.4120281498e+07 1.0000000000e+07
1.2479734910e+08 8.3027408061e+07 1.0000000000e+07
1.2521195823e+08 8.1947234379e+07 1.0000000000e+07
1.2562656737e+08 8.0879633866e+07 1.0000000000e+07
1.2604117650e+08 7.9824480737e+07 1.0000000000e+07
1.2645578563e+08 7.8781650013e+07 1.0000000000e+07
1.2687039477e+08 7.7751017527e+07 1.0000000000e+07
1.2728500390e+08 7.6732459932e+07 1.0000000000e+07
1.2769961303e+08 7.5725854709e+07 1.0000000000e+07
1.2811422217e+08 7.4731080166e+07 1.0000000000e+07
1.2852883130e+08 7.3748015452e+07 1.0000000000e+07
1.2894344043e+08 7.2776540554e+07 1.0000000000e+07
1.2935804957e+08 7.1816536305e+07 1.0000000000e+07
