  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  6.972137174907488966E-02  2.677396139136319958E+33  7.548079470491389081E+27  1.602272502385366551E+28  2.980750168200947467E+28  1.797684991632222111E+51  1.412541242349109378E+47  1.797543737507985647E+51
  7.787501474413720259E-02  2.677396139136442168E+33  7.321405879313646111E+27  1.703943163814956865E+28  3.297488732939980311E+28  1.796960339038657976E+51  1.583840374429883478E+47  1.796801955001231977E+51
  8.661601951427624901E-02  2.677396139136550543E+33  5.417952176330412475E+27  1.552094525084986849E+28  3.241190568677801549E+28  1.796129981341012430E+51  1.787854397176946615E+47  1.795951195901246025E+51
  9.592175228447087643E-02  2.677396139136721175E+33  3.534445749370820221E+27  1.279224856025219861E+28  2.884784125482663685E+28  1.795192497517197574E+51  2.030125957743501913E+47  1.794989484921399631E+51
  1.054086521577885377E-01  2.677396139136885466E+33  2.679735194903277394E+27  1.031742629177360086E+28  2.434549927112685415E+28  1.794179871466733157E+51  2.309113662600260284E+47  1.793948960100445234E+51
  1.148957790166678650E-01  2.677396139137101063E+33  2.745470536344822856E+27  8.958140323344402185E+27  2.067882726023568386E+28  1.793099922575824898E+51  2.614621364912975186E+47  1.792838460439283283E+51
  1.243818881723960795E-01  2.677396139137319541E+33  3.384387832011154375E+27  8.578990963167764110E+27  1.830283467751058205E+28  1.791940241532006635E+51  2.941479861086456433E+47  1.791646093545783593E+51
  1.338672099471463484E-01  2.677396139137526491E+33  4.308611621106538379E+27  9.171364614778932405E+27  1.784072278296289005E+28  1.790688759996347443E+51  3.289143937761544971E+47  1.790359845602467375E+51
  1.433524298995045299E-01  2.677396139137796274E+33  5.091239973579558941E+27  1.030261695048332166E+28  1.876600438215043685E+28  1.789333877678710420E+51  3.658531286813600321E+47  1.788968024549966497E+51
  1.528383142480470025E-01  2.677396139138053952E+33  5.774887524571631739E+27  1.196352991090637031E+28  2.106583463823981703E+28  1.787864650009257194E+51  4.051026140293459059E+47  1.787459547395100835E+51
  1.623172750243107310E-01  2.677396139138328348E+33  5.968013424255068750E+27  1.343705936928915145E+28  2.377941975609230404E+28  1.786272269550335822E+51  4.467982655027012103E+47  1.785825471284671085E+51
  1.716492437042140551E-01  2.677396139138620613E+33  5.993249750739524134E+27  1.438863510505331644E+28  2.622205437462366229E+28  1.784572033403834489E+51  4.908036099929277343E+47  1.784081229793734981E+51
  1.808667339237222671E-01  2.677396139138901350E+33  5.738015287073385549E+27  1.387574832608181001E+28  2.651264991851352877E+28  1.782752048672212311E+51  5.370580076073470825E+47  1.782214990664541211E+51
  1.871184411342924347E-01  2.677396250994635527E+33  5.594304230266696506E+27  1.261876770513749933E+28  2.481108682740593821E+28  8.940065210490944560E+53  8.922256842511082810E+53  1.780836798019261527E+51
  1.871184411365542088E-01  2.677396251005331180E+33  5.595210924631407478E+27  1.261000299294529326E+28  2.478086368191557248E+28  8.794917470856393965E+62  8.794718267096929961E+62  1.992037595276355614E+58
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677397018171561665E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.801222523985569508E+51  0.000000000000000000E+00  1.801222523985569508E+51
  9.999999999999999547E-07  2.677397018171566277E+33 -3.284903950925828404E+22 -4.408310665014740097E+22 -6.033238233607630225E+22  1.801222523983699284E+51  8.110929294873497205E+38  1.801222523982888455E+51
  3.000000000000000076E-06  2.677397018171559359E+33 -1.172244469024057731E+23 -1.513463117527500162E+23 -1.904718559330879752E+23  1.801222523968629162E+51  7.299249273281369107E+39  1.801222523961330371E+51
  6.999999999999999895E-06  2.677397018171562242E+33 -3.063543022041313785E+23 -3.811835195391341746E+23 -4.650331947261809415E+23  1.801222523893280876E+51  3.973204204661919853E+40  1.801222523853550251E+51
  1.499999999999999869E-05  2.677397018171576077E+33 -6.747818982162953981E+23 -8.508007301676319396E+23 -1.093227840784322867E+24  1.801222523561890712E+51  1.823426371163991684E+41  1.801222523379557185E+51
  3.099999999999999457E-05  2.677397018171570312E+33 -1.153069078559436652E+24 -1.518240824242590936E+24 -2.067584862757661383E+24  1.801222522176949454E+51  7.777141055247814446E+41  1.801222521399222474E+51
  6.299999999999998635E-05  2.677397018171566853E+33 -2.111192965747910763E+24 -2.822942139087920103E+24 -3.797815669895322487E+24  1.801222516523800277E+51  3.201467548140235808E+42  1.801222513322348003E+51
  1.269999999999999970E-04  2.677397018171580688E+33 -3.651569882878953161E+24 -4.354021897205812887E+24 -4.576268269805865565E+24  1.801222493728096764E+51  1.291842529782696276E+43  1.801222480809673810E+51
  2.550000000000000183E-04  2.677397018171610088E+33  1.552477981243395864E+23  3.643305741533931282E+24  1.102790632912133899E+25  1.801222402525711489E+51  5.132280674671990425E+43  1.801222351202917257E+51
  5.109999999999999525E-04  2.677397018171772073E+33  8.944162118555108035E+24  1.494628991828242710E+25  3.235529395738137418E+25  1.801222040430773305E+51  2.000562839551313384E+44  1.801221840374532213E+51
  1.023000000000000038E-03  2.677397018172389463E+33  7.730513932457609215E+24 -2.528827251576695012E+24  9.678490106641337865E+24  1.801220619217419467E+51  7.578960981077507131E+44  1.801219861321349771E+51
  2.047000000000000208E-03  2.677397018173930342E+33 -1.360986020363031751E+25 -6.320415300672733154E+25 -8.514899005262257285E+25  1.801215158285547583E+51  2.721160707597593975E+45  1.801212437124246491E+51
  4.094999999999999682E-03  2.677397018179419402E+33 -5.629060847580617095E+25 -1.961104353006106264E+26 -3.779640461894377940E+26  1.801195056147175941E+51  8.833270055289705398E+45  1.801186222875372769E+51
  8.191000000000000364E-03  2.677397018201400427E+33 -2.155004720792733897E+26 -5.237765560810038292E+26 -1.094994005848916114E+27  1.801127819511432453E+51  2.373949200603873761E+46  1.801104080017688081E+51
  1.638300000000000173E-02  2.677397018288618939E+33 -1.077738478720510431E+27 -1.261287419176687801E+27 -1.932562369983642129E+27  1.800957067836100218E+51  4.511141678485159096E+46  1.800911956417861107E+51
  2.588233183560570416E-02  2.677397018481864147E+33 -1.511648400632504911E+27 -1.320883684190502723E+27 -1.533503512715225630E+27  1.800767749689943283E+51  6.253248307629218743E+46  1.800705217205698474E+51
  3.536619360712450755E-02  2.677397018778733941E+33 -1.125103814543692972E+27 -1.099801374928477413E+27 -1.177956540219970041E+27  1.800602704527602524E+51  7.942321012868496625E+46  1.800523281316300772E+51
  4.484034351736183865E-02  2.677397019179454868E+33 -1.021327449899391084E+27 -1.001382535058991137E+27 -1.018380693214080425E+27  1.800448601982077075E+51  9.692904642787042470E+46  1.800351672934344493E+51
  5.430851420105976823E-02  2.677397019683061934E+33 -1.139497587583479651E+27 -9.137968039012078274E+26 -5.913063967860397558E+26  1.800289369141825384E+51  1.150942418069479838E+47  1.800174274898674247E+51
  6.377309271955408643E-02  2.677397020288892209E+33 -1.383880053071983791E+27 -1.023582379894961339E+27 -4.656442246768784967E+26  1.800107428227528812E+51  1.339099218958894438E+47  1.799973518304332818E+51
  7.323547077145695083E-02  2.677397020997319815E+33 -1.240017880537842919E+27 -7.038215006068919226E+26  3.184763956047288732E+25  1.799884791026478457E+51  1.535442602684919337E+47  1.799731246764981362E+51
  8.269639210452615907E-02  2.677397021807791927E+33 -7.807771848117356611E+26 -2.828130839260973126E+26  4.462447431652499941E+26  1.799603961289825454E+51  1.742867225439425836E+47  1.799429674565954864E+51
  9.215639476143476505E-02  2.677397022719517642E+33 -6.808896889660769255E+26 -1.968282350060068125E+26  3.839095055913706773E+26  1.799248595250502650E+51  1.965250237232714096E+47  1.799052070225542771E+51
  1.016161170658261281E-01  2.677397023732288855E+33 -6.337038030692434305E+26 -7.570897945336615207E+25  7.335912989149021661E+26  1.798803915853712149E+51  2.206608966109854523E+47  1.798583254955996177E+51
  1.110763478461553461E-01  2.677397024845945889E+33 -6.188189039152383088E+26 -4.548583396300042270E+25  7.502140289346033172E+26  1.798256912896713698E+51  2.470155157686273208E+47  1.798009897380063386E+51
  1.205379041408377733E-01  2.677397026060303121E+33 -4.465469746201536514E+26  1.036653890319544517E+26  8.525193764194913111E+26  1.797596378471669016E+51  2.758022439228399487E+47  1.797320576227104839E+51
  1.300014599493130307E-01  2.677397027375116711E+33 -2.426918582876368068E+26  3.254277190675129910E+26  1.366237291891982796E+27  1.796812823424656517E+51  3.071333672384652146E+47  1.796505690056785631E+51
  1.394674353062253236E-01  2.677397028790356104E+33 -1.459777927184664728E+26  4.159460398111583504E+26  1.564727799899959724E+27  1.795898313313704346E+51  3.410507264084873204E+47  1.795557262586846498E+51
  1.489359940440930230E-01  2.677397030305786106E+33  1.707607720205663709E+25  4.923350400380577314E+26  1.578857120416705702E+27  1.794846259685742161E+51  3.775506295956003520E+47  1.794468709055830506E+51
  1.584071362809292560E-01  2.677397031921366940E+33 -4.563694969045225135E+25  3.143207130998035854E+26  1.428496971602136199E+27  1.793651185682407580E+51  4.166396105105477061E+47  1.793234546071765740E+51
  1.678808302848245615E-01  2.677397033636819599E+33  3.641889031589070389E+25  3.309434431195047366E+26  1.419127796500122822E+27  1.792308488282678497E+51  4.583382313501359685E+47  1.791850150051411101E+51
  1.773571236818779484E-01  2.677397035452428279E+33  1.393287007105860124E+26  4.131503988532995205E+26  1.558758728665612492E+27  1.790814224843679842E+51  5.027132765345353642E+47  1.790311511567221157E+51
  1.868361992383544834E-01  2.677397037367797527E+33 -2.553855793935904132E+25  1.781654426657059746E+26  1.686753749817311356E+27  1.789164937742725199E+51  5.498734404110212740E+47  1.788615064302439508E+51
  1.963183710683382710E-01  2.677397039383093364E+33 -1.813388729421943762E+26  2.463186357464806943E+25  1.941837097755998112E+27  1.787357522122753041E+51  5.999562698573460142E+47  1.786757565853123248E+51
  2.058040389849822294E-01  2.677397041498499105E+33 -9.746964420642947721E+25  5.289050460814002639E+25  2.177124285398495315E+27  1.785389135040576177E+51  6.531200068302163563E+47  1.784736015034000544E+51
  2.152936299508280416E-01  2.677397043713957104E+33  6.588645716899729002E+25  6.135298534544243062E+25  2.274593929604924792E+27  1.783257138836867942E+51  7.095213861598279984E+47  1.782547617450934847E+51
  2.247875513226369470E-01  2.677397046029818424E+33  2.360427662797563464E+26  3.052537694526938666E+25  2.219587804812459165E+27  1.780959113391111291E+51  7.693013993307779054E+47  1.780189811991941717E+51
  2.272933727187845254E-01  2.677397128157948915E+33  2.895377337977036873E+26  6.165521680034608791E+25  2.226841359730146940E+27  1.815048537512605251E+51  3.552478717202374976E+49  1.779523750340734576E+51
  2.272934107851410090E-01  2.677397128615115150E+33  3.188541849233584448E+26  9.973638011820690691E+25  2.230165905734087170E+27  4.242288004617097112E+54  4.232027913530355219E+54  1.026009108672408146E+52
  2.272934108624670158E-01  2.677397149816258450E+33  3.660022918883289826E+26  6.437529989447900355E+25  2.216867721718326249E+27  1.423484300079948318E+63  1.423435712920055659E+63  4.858715990216118993E+58
  2.272934108634670214E-01  2.677397149837154576E+33 -6.528199425918997543E+26 -1.416256597678538078E+27 -3.112983985507670125E+26  2.237399984143920795E+67  2.219518333436747177E+67  1.788165070717389145E+65
  #time                     mass                      x-momentum                y-momentum                z-momentum                E_total                   E_kinetic                 E_internal               
  0.000000000000000000E+00  2.677397018171561665E+33  0.000000000000000000E+00  0.000000000000000000E+00  0.000000000000000000E+00  1.817443045471271624E+51  0.000000000000000000E+00  1.817443045471271624E+51
  9.999999999999999547E-07  2.677397018171566277E+33 -3.114732736845857790E+22 -4.308936037077033681E+22 -5.833487377175090194E+22  1.817443045468556011E+51  8.555581237163692796E+38  1.817443045467700985E+51
  3.000000000000000076E-06  2.677397018171562242E+33 -1.030642649828244786E+23 -1.462558750795346351E+23 -1.973594090016092790E+23  1.817443045446764315E+51  7.699441782315297561E+39  1.817443045439058448E+51
  6.999999999999999895E-06  2.677397018171557630E+33 -2.227680695808872761E+23 -3.196740043468542816E+23 -4.384652715740207597E+23  1.817443045337805170E+51  4.191083119039178650E+40  1.817443045295895276E+51
  1.499999999999999869E-05  2.677397018171576653E+33 -4.016801580480347001E+23 -6.158929736039868683E+23 -8.902052813520847556E+23  1.817443044858522773E+51  1.923458239024853114E+41  1.817443044666189131E+51
  3.099999999999999457E-05  2.677397018171569736E+33 -8.625835879447139157E+23 -1.295323451326857073E+24 -1.872104715808561265E+24  1.817443042855142572E+51  8.204147649967084022E+41  1.817443042034729096E+51
  6.299999999999998635E-05  2.677397018171574347E+33 -2.024502491973512726E+24 -2.768381281803905677E+24 -3.661660251887272286E+24  1.817443034674486299E+51  3.377554088555565724E+42  1.817443031296944546E+51
  1.269999999999999970E-04  2.677397018171599135E+33 -3.016134889771880237E+24 -3.597760730415942399E+24 -3.551523966395189408E+24  1.817443001661161705E+51  1.363153465940680622E+43  1.817442988029631193E+51
  2.550000000000000183E-04  2.677397018171618735E+33  2.727406451530178335E+24  6.546177622693234872E+24  1.538294279725120590E+25  1.817442869372702292E+51  5.417452703144664248E+43  1.817442815198180657E+51
  5.109999999999999525E-04  2.677397018171772650E+33  1.505918399201352956E+25  2.081202249232873774E+25  4.172317778730959062E+25  1.817442342499843475E+51  2.113403361753746175E+44  1.817442131159556303E+51
  1.023000000000000038E-03  2.677397018172391769E+33  2.169196907813283077E+25  9.450525243378435227E+24  2.642603079674520784E+25  1.817440261292870646E+51  8.019076589602554084E+44  1.817439459385416005E+51
  2.047000000000000208E-03  2.677397018173930342E+33  2.137645596749610260E+25 -3.258300056622724489E+25 -5.319922931695762945E+25  1.817432158582659384E+51  2.888394210510029371E+45  1.817429270189240812E+51
  4.094999999999999682E-03  2.677397018179408449E+33  5.721146993996575176E+24 -1.365619842474347590E+26 -3.046327782601965083E+26  1.817401486497705352E+51  9.437770116680347326E+45  1.817392048729352452E+51
  8.191000000000000364E-03  2.677397018201421179E+33 -1.542749906288684395E+26 -4.540508149614335177E+26 -9.889863230414583185E+26  1.817291984974024428E+51  2.571220527920470731E+46  1.817266272770280280E+51
  1.638300000000000173E-02  2.677397018288608562E+33 -1.116480773345973000E+27 -1.282906412935265037E+27 -1.865476431727995949E+27  1.816952502986504543E+51  5.007180364683944919E+46  1.816902431184364449E+51
  2.585076159296745973E-02  2.677397018481231193E+33 -1.668997651841721490E+27 -1.401107246001492256E+27 -1.393135891378408295E+27  1.816428895398494145E+51  7.139968375289345970E+46  1.816357495716396534E+51
  3.530504227346809715E-02  2.677397018776809715E+33 -1.411345336536353647E+27 -1.194040920460624053E+27 -8.584128897901126284E+26  1.815780791827272205E+51  9.334523981612842637E+46  1.815687446589369443E+51
  4.475186213684202025E-02  2.677397019175637545E+33 -1.371072995170441313E+27 -1.114100700638606699E+27 -5.081266335567738250E+26  1.814997183083906243E+51  1.174673593898312996E+47  1.814879715726370359E+51
  5.419526990639343678E-02  2.677397019676954332E+33 -1.463178031052330873E+27 -1.142586015263276399E+27 -4.550094553574560556E+26  1.814064970024088500E+51  1.442433601334735514E+47  1.813920726665693703E+51
  6.363797017311574600E-02  2.677397020280193992E+33 -1.542891577283170484E+27 -1.295817362899430647E+27 -7.963798836711369688E+26  1.812970216873598000E+51  1.740095371836099065E+47  1.812796207338149780E+51
  7.308165809550963565E-02  2.677397020985701825E+33 -1.610893654636493375E+27 -1.209379166796984661E+27 -5.623016218482543949E+26  1.811699214738118298E+51  2.071555246999515377E+47  1.811492059215159847E+51
  8.252732364811952992E-02  2.677397021793275493E+33 -1.793592569125754209E+27 -1.154524157731970862E+27 -3.592020841529966935E+26  1.810239302754941350E+51  2.440901561744625916E+47  1.809995212600542567E+51
  9.197568881051983170E-02  2.677397022702105645E+33 -1.853434397196678353E+27 -8.696710114852738626E+26 -1.092566709476721117E+26  1.808579385190270918E+51  2.852431088269940941E+47  1.808294142082920704E+51
  1.014275361774033823E-01  2.677397023712150199E+33 -2.104437620494165736E+27 -9.354063529268193239E+26 -4.300753603279043289E+26  1.806710181853683335E+51  3.310089640644650875E+47  1.806379172890748066E+51
  1.108837843425438535E-01  2.677397024823369956E+33 -2.419060565048872979E+27 -1.228873095638270556E+27 -1.121580929147472217E+27  1.804624291879945875E+51  3.816909427201028040E+47  1.804242600938317213E+51
  1.203453751387133785E-01  2.677397026035818527E+33 -2.729452269234929019E+27 -1.477609583023980509E+27 -1.834242699810296115E+27  1.802316133172973863E+51  4.374725945907408557E+47  1.801878660579458574E+51
  1.298131065782426319E-01  2.677397027349218635E+33 -3.027452483769935111E+27 -1.581879434965742275E+27 -2.087512659019560927E+27  1.799781802822176900E+51  4.984404964002026061E+47  1.799283362326840115E+51
  1.392875227784163283E-01  2.677397028763818157E+33 -3.423375689693726165E+27 -1.794650379217917010E+27 -2.314186250197303898E+27  1.797018886221814151E+51  5.646179766447017445E+47  1.796454268246048569E+51
  1.487689117033293984E-01  2.677397030279431473E+33 -3.518276366533474556E+27 -1.640512337217051790E+27 -2.058196207893906170E+27  1.794026222567703410E+51  6.359795101669864857E+47  1.793390243058265654E+51
  1.582573967094360323E-01  2.677397031896282250E+33 -3.643097957408685018E+27 -1.572208028408825242E+27 -1.635072171028785959E+27  1.790803639075622278E+51  7.125020803025527712E+47  1.790091136995940685E+51
  1.677530673931373340E-01  2.677397033614240784E+33 -3.825645756170494023E+27 -1.506321571239827952E+27 -1.440435114070830662E+27  1.787351682239464421E+51  7.941824393222553845E+47  1.786557499800711963E+51
  1.772560921085766794E-01  2.677397035433586083E+33 -4.246956404306192291E+27 -1.693705073280095474E+27 -1.642325725946473734E+27  1.783671378994412816E+51  8.810600274156052551E+47  1.782790318967486260E+51
  1.867667765787894285E-01  2.677397037354311228E+33 -4.270530457788677560E+27 -1.581274972055934961E+27 -1.579461583326513017E+27  1.779764052988683138E+51  9.732142817177265015E+47  1.778790838707354815E+51
  1.962855616808911741E-01  2.677397039376656604E+33 -4.482696939131044980E+27 -1.561932158942100894E+27 -1.083197534374707741E+27  1.775631203333708018E+51  1.070746165230323408E+48  1.774560457168833181E+51
  2.058129772573960570E-01  2.677397041501025156E+33 -4.448242553272028048E+27 -1.468844870831774447E+27 -1.034236038680315259E+27  1.771274437128003277E+51  1.173758600244025718E+48  1.770100678527994450E+51
  2.153495801650372188E-01  2.677397043727624988E+33 -4.540725378472547180E+27 -1.335863030674165238E+27 -1.006430744829178788E+27  1.766695443918813457E+51  1.282336803516904410E+48  1.765413107115465769E+51
  2.224666481157285269E-01  2.677397071444960152E+33 -4.567321746504069022E+27 -1.164800027198695210E+27 -9.683495815113179689E+26  1.829975048241403848E+51  6.823516098532255814E+49  1.761739887256251369E+51
  2.224666761788151592E-01  2.677397071450403671E+33 -4.588477948347325033E+27 -1.276021202603241094E+27 -1.185351766132143906E+27  2.079122569487380564E+51  1.904726577821700860E+50  1.888649911705399644E+51
  2.224666925904394688E-01  2.677397092427566028E+33 -4.648924239328056491E+27 -1.332840716125128665E+27 -1.211948134163665748E+27  1.609460824812836238E+58  1.609343194928119894E+58  1.176298847126413795E+54
  2.224666925922119676E-01  2.677397093063255240E+33 -4.693050031743990456E+27 -1.360041547066457822E+27 -1.158150935190814749E+27  2.128474674230164873E+63  2.122696815099138953E+63  5.777859131038591305E+60
